occ1,hisco
Female cordwainer daughter of in Cambridgeshire,81160
Male master of a vessel in Kent,98110
Male timber merchant in Norfolk,41190
Male butcher apprentice in Northamptonshire,78210
Male billy slubber in Cheshire,75140
Male draws sells coals in Staffordshire,45190
Male boy blacksmith in Buckinghamshire,83120
Male apprentice to watch makers finisher in London,84140
Male nail maker in Lancashire,83190
Male umbrella repairer in Somerset,85990
Female tool gate keeper in Worcestershire,58190
Unknown lieutenant h p unattached in Norfolk,1110
Male painter grainer in Staffordshire,93110
Male cool seller in Norfolk,45190
Male worsted factory overlooker spinner in Yorkshire West Riding,75010
Male pauper previously farmer in Yorkshire West Riding,61110
Male journeyman bricklayer and grocer in Yorkshire West Riding,93510
Male apprentice surgeon in Lincolnshire,6110
Unknown none in Kent,99999
Male waterworks labourer in London,96210
Male perpetual curate of easton in wells in Somerset,14110
Male farmer acres empl labourer in Yorkshire North Riding,61110
Female cotton spinner tenter in Lancashire,75110
Female huckster widow in Nottinghamshire,45190
Female house hold in Cornwall,54010
Female tobbaconist in Staffordshire,45190
Male glass seller in Suffolk,45190
Male farmer acres employ in out labourer daughter in Lincolnshire,61110
Female turnor wife in Cardiganshire,82110
Unknown shop man in Yorkshire West Riding,45110
Unknown butcher in Herefordshire,78210
Male cotton stricher in Lancashire,75190
Male bobbin putter in cotton in Lancashire,75190
Male hawker lucifer malster in Cambridgeshire,45190
Male turner carrier in Devon,82110
Female pauper housekeeper in Worcestershire,54010
Female scho at home in Somerset,99990
Female maltster makers wife in Berkshire,77310
Female servant couchman in Cheshire,95110
Female farm acres labr in Cornwall,62110
Male brick layer inn keeper in Leicestershire,93510
Male farmer embloyed on the farm son in Surrey,61110
Female artificial florist in Shropshire,85990
Male iron founder millwright in Yorkshire West Riding,83110
Male supported by parish in Essex,99999
Male employd at home son in Monmouthshire,99999
Male labourer boatman on the coal in Somerset,98320
Female farmer acres labourer in Flintshire,61110
Female wheelwright widow in Norfolk,84250
Male attending hammer forge in Glamorganshire,83190
Unknown journeyman miller in Lincolnshire,77110
Male magesbra in Lancashire,99999
Male master mason employ man in Durham,93110
Male vistualler in Lancashire,57110
Male hand woolen loom weaver in Gloucestershire,75120
Male watch maker in Lancashire,84140
Female llan in Lancashire,99999
Female in receipt of parish ret in Surrey,99999
Male water seller in Cheshire,45190
Male member of christ ch college in Oxfordshire,13920
Male agl labourer receiving out door relief in Nottinghamshire,62110
